UID,Province_State,Combined_Key,7/11/20,7/12/20,7/13/20,7/14/20
84020017,Kansas,"Chase, Kansas, US",0,0,0,0
84020019,Kansas,"Chautauqua, Kansas, US",0,0,0,0
84020021,Kansas,"Cherokee, Kansas, US",1,1,1,1
84020023,Kansas,"Cheyenne, Kansas, US",0,0,0,0
84020025,Kansas,"Clark, Kansas, US",1,1,1,1
84020027,Kansas,"Clay, Kansas, US",2,2,2,2
84020029,Kansas,"Cloud, Kansas, US",0,0,0,0
84020031,Kansas,"Coffey, Kansas, US",8,8,8,8
84020033,Kansas,"Comanche, Kansas, US",0,0,0,0
84020035,Kansas,"Cowley, Kansas, US",1,1,1,1
84020037,Kansas,"Crawford, Kansas, US",1,1,1,1
84020039,Kansas,"Decatur, Kansas, US",0,0,0,0
84020041,Kansas,"Dickinson, Kansas, US",1,1,1,1
84020043,Kansas,"Doniphan, Kansas, US",0,0,0,0
84020045,Kansas,"Douglas, Kansas, US",0,0,0,0
84020047,Kansas,"Edwards, Kansas, US",0,0,0,0
84020049,Kansas,"Elk, Kansas, US",0,0,0,0
84020051,Kansas,"Ellis, Kansas, US",0,0,0,0
84020053,Kansas,"Ellsworth, Kansas, US",0,0,0,0
84020055,Kansas,"Finney, Kansas, US",10,10,10,10
84020057,Kansas,"Ford, Kansas, US",8,8,8,8
84020059,Kansas,"Franklin, Kansas, US",1,1,1,1
84020061,Kansas,"Geary, Kansas, US",1,1,1,1
84020063,Kansas,"Gove, Kansas, US",0,0,0,0
84020065,Kansas,"Graham, Kansas, US",0,0,0,0
84020067,Kansas,"Grant, Kansas, US",2,2,2,2
84020069,Kansas,"Gray, Kansas, US",0,0,0,0
84020071,Kansas,"Greeley, Kansas, US",0,0,0,0
84020073,Kansas,"Greenwood, Kansas, US",0,0,0,0
84020075,Kansas,"Hamilton, Kansas, US",0,0,0,0
84020077,Kansas,"Harper, Kansas, US",0,0,0,0
84020079,Kansas,"Harvey, Kansas, US",0,0,0,1
84020081,Kansas,"Haskell, Kansas, US",0,0,0,0
84020083,Kansas,"Hodgeman, Kansas, US",0,0,0,0
84020085,Kansas,"Jackson, Kansas, US",1,1,1,1
84020087,Kansas,"Jefferson, Kansas, US",0,0,0,0
84020089,Kansas,"Jewell, Kansas, US",0,0,0,0
84020091,Kansas,"Johnson, Kansas, US",92,93,93,93
84020093,Kansas,"Kearny, Kansas, US",1,1,1,1
84020095,Kansas,"Kingman, Kansas, US",0,0,0,0
84020097,Kansas,"Kiowa, Kansas, US",0,0,0,0
84020099,Kansas,"Labette, Kansas, US",0,0,0,0
84020101,Kansas,"Lane, Kansas, US",0,0,0,0
84020103,Kansas,"Leavenworth, Kansas, US",7,7,7,7
84020105,Kansas,"Lincoln, Kansas, US",0,0,0,0
84020107,Kansas,"Linn, Kansas, US",0,0,0,0
84020109,Kansas,"Logan, Kansas, US",0,0,0,0
84020111,Kansas,"Lyon, Kansas, US",7,7,7,7
84020113,Kansas,"McPherson, Kansas, US",0,0,0,0
84020115,Kansas,"Marion, Kansas, US",1,1,1,1
84020117,Kansas,"Marshall, Kansas, US",0,0,0,0
84020119,Kansas,"Meade, Kansas, US",0,0,0,0
84020121,Kansas,"Miami, Kansas, US",0,0,0,0
84020123,Kansas,"Mitchell, Kansas, US",0,0,0,0
84020125,Kansas,"Montgomery, Kansas, US",3,3,3,3
84020127,Kansas,"Morris, Kansas, US",0,0,0,0
84020129,Kansas,"Morton, Kansas, US",2,2,2,2
84020131,Kansas,"Nemaha, Kansas, US",0,0,0,0
84020133,Kansas,"Neosho, Kansas, US",0,0,0,0
84020135,Kansas,"Ness, Kansas, US",0,0,0,0
84020137,Kansas,"Norton, Kansas, US",0,0,0,0
84020139,Kansas,"Osage, Kansas, US",0,0,0,0
84020141,Kansas,"Osborne, Kansas, US",0,0,0,0
84020143,Kansas,"Ottawa, Kansas, US",0,0,0,0
84020145,Kansas,"Pawnee, Kansas, US",0,0,0,0
84020147,Kansas,"Phillips, Kansas, US",4,4,4,4
84020149,Kansas,"Pottawatomie, Kansas, US",0,0,0,0
84020151,Kansas,"Pratt, Kansas, US",0,0,0,0
84020153,Kansas,"Rawlins, Kansas, US",0,0,0,0
84020155,Kansas,"Reno, Kansas, US",0,0,0,0
84020157,Kansas,"Republic, Kansas, US",0,0,0,0
84020159,Kansas,"Rice, Kansas, US",0,0,0,0
84020161,Kansas,"Riley, Kansas, US",3,3,3,3
84020163,Kansas,"Rooks, Kansas, US",0,0,0,0
84020165,Kansas,"Rush, Kansas, US",0,0,0,0
84020167,Kansas,"Russell, Kansas, US",0,0,0,0
84020169,Kansas,"Saline, Kansas, US",2,2,3,3
84020171,Kansas,"Scott, Kansas, US",0,0,0,0
84020173,Kansas,"Sedgwick, Kansas, US",28,28,28,28
84020175,Kansas,"Seward, Kansas, US",2,2,2,2
84020177,Kansas,"Shawnee, Kansas, US",13,13,13,13
84020179,Kansas,"Sheridan, Kansas, US",0,0,0,0
84020181,Kansas,"Sherman, Kansas, US",0,0,0,0
84020183,Kansas,"Smith, Kansas, US",0,0,0,0
84020185,Kansas,"Stafford, Kansas, US",0,0,0,0
84020187,Kansas,"Stanton, Kansas, US",0,0,0,0
84020189,Kansas,"Stevens, Kansas, US",0,0,0,0
84020191,Kansas,"Sumner, Kansas, US",1,1,1,1
84020193,Kansas,"Thomas, Kansas, US",0,0,0,0
84020195,Kansas,"Trego, Kansas, US",0,0,0,0
84020197,Kansas,"Wabaunsee, Kansas, US",0,0,0,0
84020199,Kansas,"Wallace, Kansas, US",0,0,0,0
84020201,Kansas,"Washington, Kansas, US",0,0,0,0
84020203,Kansas,"Wichita, Kansas, US",0,0,0,0
84020205,Kansas,"Wilson, Kansas, US",0,0,0,0
84020207,Kansas,"Woodson, Kansas, US",0,0,0,0
84020209,Kansas,"Wyandotte, Kansas, US",87,88,88,88
84021001,Kentucky,"Adair, Kentucky, US",19,19,19,19
84021003,Kentucky,"Allen, Kentucky, US",7,7,7,7
84021005,Kentucky,"Anderson, Kentucky, US",1,1,1,1
84021007,Kentucky,"Ballard, Kentucky, US",0,0,0,0
84021009,Kentucky,"Barren, Kentucky, US",2,2,2,2
84021011,Kentucky,"Bath, Kentucky, US",1,1,1,1
84021013,Kentucky,"Bell, Kentucky, US",0,0,0,0
84021015,Kentucky,"Boone, Kentucky, US",23,23,23,23
84021017,Kentucky,"Bourbon, Kentucky, US",1,1,1,1
84021019,Kentucky,"Boyd, Kentucky, US",3,3,3,3
84021021,Kentucky,"Boyle, Kentucky, US",0,0,0,0
84021023,Kentucky,"Bracken, Kentucky, US",0,0,0,0
84021025,Kentucky,"Breathitt, Kentucky, US",0,0,0,0
84021027,Kentucky,"Breckinridge, Kentucky, US",2,2,2,2
84021029,Kentucky,"Bullitt, Kentucky, US",4,4,4,4
84021031,Kentucky,"Butler, Kentucky, US",14,14,14,14
84021033,Kentucky,"Caldwell, Kentucky, US",0,0,0,0
84021035,Kentucky,"Calloway, Kentucky, US",1,1,1,1
84021037,Kentucky,"Campbell, Kentucky, US",13,13,13,13
84021039,Kentucky,"Carlisle, Kentucky, US",1,1,1,1
84021041,Kentucky,"Carroll, Kentucky, US",1,1,1,1
84021043,Kentucky,"Carter, Kentucky, US",0,0,0,1
84021045,Kentucky,"Casey, Kentucky, US",1,1,1,2
84021047,Kentucky,"Christian, Kentucky, US",4,4,4,4
84021049,Kentucky,"Clark, Kentucky, US",6,6,6,6
84021051,Kentucky,"Clay, Kentucky, US",4,4,4,4
84021053,Kentucky,"Clinton, Kentucky, US",0,0,0,0
84021055,Kentucky,"Crittenden, Kentucky, US",1,1,1,1
84021057,Kentucky,"Cumberland, Kentucky, US",0,0,0,0
84021059,Kentucky,"Daviess, Kentucky, US",8,8,8,8
84021061,Kentucky,"Edmonson, Kentucky, US",12,12,12,12
84021063,Kentucky,"Elliott, Kentucky, US",0,0,0,0
84021065,Kentucky,"Estill, Kentucky, US",0,0,0,0
84021067,Kentucky,"Fayette, Kentucky, US",31,33,36,37
84021069,Kentucky,"Fleming, Kentucky, US",0,0,0,0
84021071,Kentucky,"Floyd, Kentucky, US",0,0,0,1
84021073,Kentucky,"Franklin, Kentucky, US",4,4,4,4
84021075,Kentucky,"Fulton, Kentucky, US",1,1,1,1
84021077,Kentucky,"Gallatin, Kentucky, US",8,8,8,8
84021079,Kentucky,"Garrard, Kentucky, US",0,0,0,0
84021081,Kentucky,"Grant, Kentucky, US",5,5,5,5
84021083,Kentucky,"Graves, Kentucky, US",21,21,21,21
84021085,Kentucky,"Grayson, Kentucky, US",11,11,11,11
84021087,Kentucky,"Green, Kentucky, US",1,1,1,1
84021089,Kentucky,"Greenup, Kentucky, US",0,0,0,0
84021091,Kentucky,"Hancock, Kentucky, US",0,0,0,0
84021093,Kentucky,"Hardin, Kentucky, US",6,6,6,6
84021095,Kentucky,"Harlan, Kentucky, US",2,2,2,2
84021097,Kentucky,"Harrison, Kentucky, US",0,0,0,0
84021099,Kentucky,"Hart, Kentucky, US",0,0,0,0
84021101,Kentucky,"Henderson, Kentucky, US",3,3,3,3
84021103,Kentucky,"Henry, Kentucky, US",2,2,2,2
84021105,Kentucky,"Hickman, Kentucky, US",0,0,0,0
84021107,Kentucky,"Hopkins, Kentucky, US",33,33,33,33
84021109,Kentucky,"Jackson, Kentucky, US",14,14,14,14
84021111,Kentucky,"Jefferson, Kentucky, US",206,206,206,206
84021113,Kentucky,"Jessamine, Kentucky, US",0,0,0,0
84021115,Kentucky,"Johnson, Kentucky, US",0,0,0,0
84021117,Kentucky,"Kenton, Kentucky, US",37,37,37,37
84021119,Kentucky,"Knott, Kentucky, US",0,0,0,0
84021121,Kentucky,"Knox, Kentucky, US",5,5,5,5
84021123,Kentucky,"Larue, Kentucky, US",1,1,1,1
84021125,Kentucky,"Laurel, Kentucky, US",3,3,3,3
84021127,Kentucky,"Lawrence, Kentucky, US",0,0,0,0
84021129,Kentucky,"Lee, Kentucky, US",0,0,0,0
84021131,Kentucky,"Leslie, Kentucky, US",0,0,0,0
84021133,Kentucky,"Letcher, Kentucky, US",0,0,0,0
84021135,Kentucky,"Lewis, Kentucky, US",0,0,0,0
84021137,Kentucky,"Lincoln, Kentucky, US",1,1,1,1
84021139,Kentucky,"Livingston, Kentucky, US",0,0,0,0
84021141,Kentucky,"Logan, Kentucky, US",13,13,13,13
84021143,Kentucky,"Lyon, Kentucky, US",3,3,3,3
84021145,Kentucky,"McCracken, Kentucky, US",3,3,3,3
84021147,Kentucky,"McCreary, Kentucky, US",0,0,0,0
84021149,Kentucky,"McLean, Kentucky, US",1,1,1,1
84021151,Kentucky,"Madison, Kentucky, US",1,1,1,1
84021153,Kentucky,"Magoffin, Kentucky, US",0,0,0,0
84021155,Kentucky,"Marion, Kentucky, US",0,0,0,0
84021157,Kentucky,"Marshall, Kentucky, US",2,2,2,2
84021159,Kentucky,"Martin, Kentucky, US",0,0,0,0
84021161,Kentucky,"Mason, Kentucky, US",1,1,1,1
84021163,Kentucky,"Meade, Kentucky, US",2,2,2,2
84021165,Kentucky,"Menifee, Kentucky, US",0,0,0,0
84021167,Kentucky,"Mercer, Kentucky, US",0,0,0,0
84021169,Kentucky,"Metcalfe, Kentucky, US",2,2,2,2
84021171,Kentucky,"Monroe, Kentucky, US",2,2,2,2
84021173,Kentucky,"Montgomery, Kentucky, US",0,0,0,0
84021175,Kentucky,"Morgan, Kentucky, US",0,0,0,0
84021177,Kentucky,"Muhlenberg, Kentucky, US",8,8,8,8
84021179,Kentucky,"Nelson, Kentucky, US",2,2,2,2
84021181,Kentucky,"Nicholas, Kentucky, US",0,0,0,0
84021183,Kentucky,"Ohio, Kentucky, US",0,0,0,1
84021185,Kentucky,"Oldham, Kentucky, US",7,7,7,7
84021187,Kentucky,"Owen, Kentucky, US",0,0,0,0
84021189,Kentucky,"Owsley, Kentucky, US",0,0,0,0
84021191,Kentucky,"Pendleton, Kentucky, US",0,0,0,0
84021193,Kentucky,"Perry, Kentucky, US",2,2,2,2
84021195,Kentucky,"Pike, Kentucky, US",3,3,3,3
84021197,Kentucky,"Powell, Kentucky, US",0,0,0,0
84021199,Kentucky,"Pulaski, Kentucky, US",2,2,2,2
84021201,Kentucky,"Robertson, Kentucky, US",0,0,0,0
84021203,Kentucky,"Rockcastle, Kentucky, US",0,0,0,0
84021205,Kentucky,"Rowan, Kentucky, US",0,0,0,0
84021207,Kentucky,"Russell, Kentucky, US",5,5,5,5
84021209,Kentucky,"Scott, Kentucky, US",0,0,0,0
84021211,Kentucky,"Shelby, Kentucky, US",18,19,19,20
84021213,Kentucky,"Simpson, Kentucky, US",3,3,3,3
84021215,Kentucky,"Spencer, Kentucky, US",0,0,0,0
84021217,Kentucky,"Taylor, Kentucky, US",1,1,1,1
84021219,Kentucky,"Todd, Kentucky, US",0,0,0,0
84021221,Kentucky,"Trigg, Kentucky, US",0,0,0,0
84021223,Kentucky,"Trimble, Kentucky, US",0,0,0,0
84021225,Kentucky,"Union, Kentucky, US",0,0,0,0
84021227,Kentucky,"Warren, Kentucky, US",17,17,18,18
84021229,Kentucky,"Washington, Kentucky, US",0,0,0,0
84021231,Kentucky,"Wayne, Kentucky, US",0,0,0,0
84021233,Kentucky,"Webster, Kentucky, US",0,0,0,0
84021235,Kentucky,"Whitley, Kentucky, US",0,0,0,0
84021237,Kentucky,"Wolfe, Kentucky, US",0,0,0,0
84021239,Kentucky,"Woodford, Kentucky, US",0,0,0,0
84022001,Louisiana,"Acadia, Louisiana, US",45,45,45,46
84022003,Louisiana,"Allen, Louisiana, US",12,12,12,14
84022005,Louisiana,"Ascension, Louisiana, US",63,63,64,64
84022007,Louisiana,"Assumption, Louisiana, US",16,16,16,17
84022009,Louisiana,"Avoyelles, Louisiana, US",16,17,17,17
84022011,Louisiana,"Beauregard, Louisiana, US",9,9,9,9
84022013,Louisiana,"Bienville, Louisiana, US",28,28,28,28
84022015,Louisiana,"Bossier, Louisiana, US",38,39,39,39
84022017,Louisiana,"Caddo, Louisiana, US",247,247,248,249
84022019,Louisiana,"Calcasieu, Louisiana, US",70,71,71,72
84022021,Louisiana,"Caldwell, Louisiana, US",1,1,1,1
84022023,Louisiana,"Cameron, Louisiana, US",0,0,0,0
84022025,Louisiana,"Catahoula, Louisiana, US",3,3,3,3
84022027,Louisiana,"Claiborne, Louisiana, US",10,10,10,10
84022029,Louisiana,"Concordia, Louisiana, US",7,7,7,7
84022031,Louisiana,"De Soto, Louisiana, US",20,20,21,21
84022033,Louisiana,"East Baton Rouge, Louisiana, US",278,279,279,279
84022035,Louisiana,"East Carroll, Louisiana, US",1,1,1,1
84022037,Louisiana,"East Feliciana, Louisiana, US",33,33,33,33
84022039,Louisiana,"Evangeline, Louisiana, US",1,1,1,1
84022041,Louisiana,"Franklin, Louisiana, US",14,14,14,14
84022043,Louisiana,"Grant, Louisiana, US",2,2,2,2
84022045,Louisiana,"Iberia, Louisiana, US",51,51,51,52
84022047,Louisiana,"Iberville, Louisiana, US",43,43,43,43
84022049,Louisiana,"Jackson, Louisiana, US",17,17,17,17
84022051,Louisiana,"Jefferson, Louisiana, US",491,493,495,495
84022053,Louisiana,"Jefferson Davis, Louisiana, US",12,13,13,14
84022055,Louisiana,"Lafayette, Louisiana, US",52,54,54,55
84022057,Louisiana,"Lafourche, Louisiana, US",91,91,91,91
84022059,Louisiana,"LaSalle,Louisiana,US",0,0,0,0
84022061,Louisiana,"Lincoln, Louisiana, US",19,19,19,19
84022063,Louisiana,"Livingston, Louisiana, US",40,40,40,41
84022065,Louisiana,"Madison, Louisiana, US",4,4,4,4
84022067,Louisiana,"Morehouse, Louisiana, US",10,10,10,10
84022069,Louisiana,"Natchitoches, Louisiana, US",14,14,14,14
84022071,Louisiana,"Orleans, Louisiana, US",540,540,540,542
84022073,Louisiana,"Ouachita, Louisiana, US",86,86,86,90
84022075,Louisiana,"Plaquemines, Louisiana, US",18,18,18,18
84022077,Louisiana,"Pointe Coupee, Louisiana, US",28,28,28,28
84022079,Louisiana,"Rapides, Louisiana, US",79,79,79,79
84022081,Louisiana,"Red River, Louisiana, US",9,9,9,9
84022083,Louisiana,"Richland, Louisiana, US",5,5,5,5
84022085,Louisiana,"Sabine, Louisiana, US",1,1,1,1
84022087,Louisiana,"St. Bernard, Louisiana, US",24,24,24,24
84022089,Louisiana,"St. Charles, Louisiana, US",49,49,49,49
84022091,Louisiana,"St. Helena, Louisiana, US",1,1,1,1
84022093,Louisiana,"St. James, Louisiana, US",30,30,30,30
84022095,Louisiana,"St. John the Baptist, Louisiana, US",87,87,87,88
84022097,Louisiana,"St. Landry, Louisiana, US",59,59,60,60
84022099,Louisiana,"St. Martin, Louisiana, US",27,27,27,29
84022101,Louisiana,"St. Mary, Louisiana, US",39,39,39,39
84022103,Louisiana,"St. Tammany, Louisiana, US",185,187,187,187
84022105,Louisiana,"Tangipahoa, Louisiana, US",44,44,44,44
84022107,Louisiana,"Tensas, Louisiana, US",0,0,0,0
84022109,Louisiana,"Terrebonne, Louisiana, US",66,66,67,67
84022111,Louisiana,"Union, Louisiana, US",28,28,28,28
84022113,Louisiana,"Vermilion, Louisiana, US",7,7,7,8
84022115,Louisiana,"Vernon, Louisiana, US",9,9,9,10
84022117,Louisiana,"Washington, Louisiana, US",49,51,51,51
84022119,Louisiana,"Webster, Louisiana, US",12,12,12,12
84022121,Louisiana,"West Baton Rouge, Louisiana, US",31,31,31,32
84022123,Louisiana,"West Carroll, Louisiana, US",5,5,5,5
84022125,Louisiana,"West Feliciana, Louisiana, US",14,14,14,14
84022127,Louisiana,"Winn, Louisiana, US",5,5,5,5
84023001,Maine,"Androscoggin, Maine, US",4,4,4,4
84023003,Maine,"Aroostook, Maine, US",1,1,1,1
84023005,Maine,"Cumberland, Maine, US",66,67,67,67
84023007,Maine,"Franklin, Maine, US",1,1,1,1
84023009,Maine,"Hancock, Maine, US",1,1,1,1
84023011,Maine,"Kennebec, Maine, US",10,10,10,10
84023013,Maine,"Knox, Maine, US",1,1,1,1
84023015,Maine,"Lincoln, Maine, US",0,0,0,0
84023017,Maine,"Oxford, Maine, US",0,0,0,0
84023019,Maine,"Penobscot, Maine, US",3,4,4,4
84023021,Maine,"Piscataquis, Maine, US",0,0,0,0
84023023,Maine,"Sagadahoc, Maine, US",0,0,0,0
84023025,Maine,"Somerset, Maine, US",0,0,0,0
84023027,Maine,"Waldo, Maine, US",14,14,14,14
84023029,Maine,"Washington, Maine, US",0,0,0,0
84023031,Maine,"York, Maine, US",11,11,11,11
84024001,Maryland,"Allegany, Maryland, US",18,18,18,18
84024003,Maryland,"Anne Arundel, Maryland, US",210,210,210,210
84024005,Maryland,"Baltimore, Maryland, US",497,496,496,498
84024009,Maryland,"Calvert, Maryland, US",27,27,27,27
84024011,Maryland,"Caroline, Maryland, US",3,3,3,3
84024013,Maryland,"Carroll, Maryland, US",115,116,116,116
84024015,Maryland,"Cecil, Maryland, US",29,29,29,29
84024017,Maryland,"Charles, Maryland, US",89,90,90,90
84024019,Maryland,"Dorchester, Maryland, US",5,5,5,5
84024021,Maryland,"Frederick, Maryland, US",120,120,120,120
84024023,Maryland,"Garrett, Maryland, US",0,0,0,0
84024025,Maryland,"Harford, Maryland, US",65,65,66,66
84024027,Maryland,"Howard, Maryland, US",95,95,96,96
84024029,Maryland,"Kent, Maryland, US",23,23,23,23
84024031,Maryland,"Montgomery, Maryland, US",757,759,760,762
84024033,Maryland,"Prince George's, Maryland, US",706,712,714,715
84024035,Maryland,"Queen Anne's, Maryland, US",23,23,23,23
84024037,Maryland,"St. Mary's, Maryland, US",51,51,51,51
84024039,Maryland,"Somerset, Maryland, US",3,3,3,3
84024041,Maryland,"Talbot, Maryland, US",4,4,4,4
84024043,Maryland,"Washington, Maryland, US",29,29,29,29
84024045,Maryland,"Wicomico, Maryland, US",41,42,42,42
84024047,Maryland,"Worcester, Maryland, US",18,18,18,18
84024510,Maryland,"Baltimore City, Maryland, US",364,365,366,367
84025001,Massachusetts,"Barnstable, Massachusetts, US",151,151,151,152
84025003,Massachusetts,"Berkshire, Massachusetts, US",45,45,45,45
84025005,Massachusetts,"Bristol, Massachusetts, US",598,601,601,601
84025007,Massachusetts,"Dukes, Massachusetts, US",0,0,0,0
84025009,Massachusetts,"Essex, Massachusetts, US",1136,1137,1136,1136
84025011,Massachusetts,"Franklin, Massachusetts, US",57,57,57,57
84025013,Massachusetts,"Hampden, Massachusetts, US",674,678,678,679
84025015,Massachusetts,"Hampshire, Massachusetts, US",117,117,117,117
84025017,Massachusetts,"Middlesex, Massachusetts, US",1913,1916,1921,1923
84025019,Massachusetts,"Nantucket, Massachusetts, US",0,0,0,0
84025021,Massachusetts,"Norfolk, Massachusetts, US",957,958,958,959
84025023,Massachusetts,"Plymouth, Massachusetts, US",678,679,679,680
84025025,Massachusetts,"Suffolk, Massachusetts, US",1018,1020,1020,1022
84025027,Massachusetts,"Worcester, Massachusetts, US",958,958,959,961
84026001,Michigan,"Alcona, Michigan, US",1,1,1,1
84026003,Michigan,"Alger, Michigan, US",0,0,0,0
84026005,Michigan,"Allegan, Michigan, US",7,7,7,7
84026007,Michigan,"Alpena, Michigan, US",12,12,12,12
84026009,Michigan,"Antrim, Michigan, US",0,0,0,0
84026011,Michigan,"Arenac, Michigan, US",2,2,2,2
84026013,Michigan,"Baraga, Michigan, US",0,0,0,0
84026015,Michigan,"Barry, Michigan, US",2,2,2,2
84026017,Michigan,"Bay, Michigan, US",31,31,31,31
84026019,Michigan,"Benzie, Michigan, US",0,0,0,0
84026021,Michigan,"Berrien, Michigan, US",60,60,60,61
84026023,Michigan,"Branch, Michigan, US",2,2,2,2
84026025,Michigan,"Calhoun, Michigan, US",39,39,39,39
84026027,Michigan,"Cass, Michigan, US",6,6,6,6
84026029,Michigan,"Charlevoix, Michigan, US",2,2,2,2
84026031,Michigan,"Cheboygan, Michigan, US",2,2,2,2
84026033,Michigan,"Chippewa, Michigan, US",0,0,0,0
84026035,Michigan,"Clare, Michigan, US",3,3,3,3
84026037,Michigan,"Clinton, Michigan, US",12,12,12,12
84026039,Michigan,"Crawford, Michigan, US",5,5,5,5
84026041,Michigan,"Delta, Michigan, US",3,3,4,3
84026043,Michigan,"Dickinson, Michigan, US",2,2,2,2
84026045,Michigan,"Eaton, Michigan, US",7,7,7,7
84026047,Michigan,"Emmet, Michigan, US",2,2,2,2
84026049,Michigan,"Genesee, Michigan, US",291,291,291,291
84026051,Michigan,"Gladwin, Michigan, US",1,1,1,1
84026053,Michigan,"Gogebic, Michigan, US",1,1,1,1
84026055,Michigan,"Grand Traverse, Michigan, US",5,5,5,5
84026057,Michigan,"Gratiot, Michigan, US",14,14,14,14
84026059,Michigan,"Hillsdale, Michigan, US",25,25,25,25
84026061,Michigan,"Houghton, Michigan, US",0,0,0,0
84026063,Michigan,"Huron, Michigan, US",3,3,3,3
84026065,Michigan,"Ingham, Michigan, US",30,30,29,29
84026067,Michigan,"Ionia, Michigan, US",5,5,5,5
84026069,Michigan,"Iosco, Michigan, US",11,11,11,11
84026071,Michigan,"Iron, Michigan, US",1,1,1,1
84026073,Michigan,"Isabella, Michigan, US",8,8,8,8
84026075,Michigan,"Jackson, Michigan, US",32,32,32,32
84026077,Michigan,"Kalamazoo, Michigan, US",70,70,70,71
84026079,Michigan,"Kalkaska, Michigan, US",2,2,2,2
84026081,Michigan,"Kent, Michigan, US",144,144,145,145
84026083,Michigan,"Keweenaw, Michigan, US",0,0,0,0
84026085,Michigan,"Lake, Michigan, US",0,0,0,0
84026087,Michigan,"Lapeer, Michigan, US",31,31,32,32
84026089,Michigan,"Leelanau, Michigan, US",0,0,0,0
84026091,Michigan,"Lenawee, Michigan, US",11,11,11,11
84026093,Michigan,"Livingston, Michigan, US",28,28,28,28
84026095,Michigan,"Luce, Michigan, US",0,0,0,0
84026097,Michigan,"Mackinac, Michigan, US",0,0,0,0
84026099,Michigan,"Macomb, Michigan, US",928,928,928,929
84026101,Michigan,"Manistee, Michigan, US",0,0,0,0
84026103,Michigan,"Marquette, Michigan, US",11,11,11,11
84026105,Michigan,"Mason, Michigan, US",0,0,0,0
84026107,Michigan,"Mecosta, Michigan, US",2,2,2,2
84026109,Michigan,"Menominee, Michigan, US",0,0,0,0
84026111,Michigan,"Midland, Michigan, US",9,9,9,9
84026113,Michigan,"Missaukee, Michigan, US",1,1,1,1
84026115,Michigan,"Monroe, Michigan, US",21,21,21,23
84026117,Michigan,"Montcalm, Michigan, US",1,1,1,1
84026119,Michigan,"Montmorency, Michigan, US",0,0,0,0
84026121,Michigan,"Muskegon, Michigan, US",54,54,54,54
84026123,Michigan,"Newaygo, Michigan, US",0,0,0,0
84026125,Michigan,"Oakland, Michigan, US",1108,1108,1109,1109
84026127,Michigan,"Oceana, Michigan, US",5,5,5,5
84026129,Michigan,"Ogemaw, Michigan, US",2,2,2,2
84026131,Michigan,"Ontonagon, Michigan, US",0,0,0,0
84026133,Michigan,"Osceola, Michigan, US",0,0,0,0
84026135,Michigan,"Oscoda, Michigan, US",1,1,1,1
84026137,Michigan,"Otsego, Michigan, US",10,10,10,10
84026139,Michigan,"Ottawa, Michigan, US",52,52,53,53
84026141,Michigan,"Presque Isle, Michigan, US",0,0,0,0
84026143,Michigan,"Roscommon, Michigan, US",0,0,0,0
84026145,Michigan,"Saginaw, Michigan, US",124,124,125,125
84026147,Michigan,"St. Clair, Michigan, US",53,53,53,53
84026149,Michigan,"St. Joseph, Michigan, US",5,5,5,5
84026151,Michigan,"Sanilac, Michigan, US",6,6,6,6
84026153,Michigan,"Schoolcraft, Michigan, US",0,0,0,0
84026155,Michigan,"Shiawassee, Michigan, US",28,28,28,28
84026157,Michigan,"Tuscola, Michigan, US",27,27,27,27
84026159,Michigan,"Van Buren, Michigan, US",9,9,9,9
84026161,Michigan,"Washtenaw, Michigan, US",108,108,108,108
84026163,Michigan,"Wayne, Michigan, US",2758,2759,2761,2762
84026165,Michigan,"Wexford, Michigan, US",4,4,4,4
84027001,Minnesota,"Aitkin, Minnesota, US",0,0,0,0
84027003,Minnesota,"Anoka, Minnesota, US",111,111,111,114
84027005,Minnesota,"Becker, Minnesota, US",0,0,0,0
84027007,Minnesota,"Beltrami, Minnesota, US",0,0,0,0
84027009,Minnesota,"Benton, Minnesota, US",3,3,3,3
84027011,Minnesota,"Big Stone, Minnesota, US",0,0,0,0
84027013,Minnesota,"Blue Earth, Minnesota, US",2,2,2,2
84027015,Minnesota,"Brown, Minnesota, US",2,2,2,2
84027017,Minnesota,"Carlton, Minnesota, US",0,0,0,0
84027019,Minnesota,"Carver, Minnesota, US",1,2,2,2
84027021,Minnesota,"Cass, Minnesota, US",2,2,2,2
84027023,Minnesota,"Chippewa, Minnesota, US",1,1,1,1
84027025,Minnesota,"Chisago, Minnesota, US",1,1,1,1
84027027,Minnesota,"Clay, Minnesota, US",38,38,38,38
84027029,Minnesota,"Clearwater, Minnesota, US",0,0,0,0
84027031,Minnesota,"Cook, Minnesota, US",0,0,0,0
84027033,Minnesota,"Cottonwood, Minnesota, US",0,0,0,0
84027035,Minnesota,"Crow Wing, Minnesota, US",12,12,12,12
84027037,Minnesota,"Dakota, Minnesota, US",96,96,96,96
84027039,Minnesota,"Dodge, Minnesota, US",0,0,0,0
84027041,Minnesota,"Douglas, Minnesota, US",0,0,0,0
84027043,Minnesota,"Faribault, Minnesota, US",0,0,0,0
84027045,Minnesota,"Fillmore,Minnesota,US",0,0,0,0
84027047,Minnesota,"Freeborn, Minnesota, US",0,0,0,0
84027049,Minnesota,"Goodhue, Minnesota, US",8,8,8,8
84027051,Minnesota,"Grant, Minnesota, US",0,0,0,0
84027053,Minnesota,"Hennepin, Minnesota, US",790,791,791,791
84027055,Minnesota,"Houston, Minnesota, US",0,0,0,0
