UID,Key,6/1/20,6/2/20,6/3/20,6/4/20
84005135,"Sharp, Arkansas, US",2,2,2,3
84005137,"Stone, Arkansas, US",0,0,0,0
84005139,"Union, Arkansas, US",8,9,10,11
84005141,"Van Buren, Arkansas, US",2,2,2,2
84005143,"Washington, Arkansas, US",7,7,7,8
84005145,"White, Arkansas, US",1,1,1,1
84005147,"Woodruff, Arkansas, US",0,0,0,0
84005149,"Yell, Arkansas, US",1,1,1,2
84006001,"Alameda, California, US",96,97,97,97
84006003,"Alpine, California, US",0,0,0,0
84006005,"Amador, California, US",0,0,0,0
84006007,"Butte, California, US",0,1,1,1
84006009,"Calaveras, California, US",0,0,0,0
84006011,"Colusa, California, US",0,0,0,0
84006013,"Contra Costa, California, US",38,37,38,38
84006015,"Del Norte, California, US",0,0,0,0
84006017,"El Dorado, California, US",0,0,0,0
84006019,"Fresno, California, US",35,36,37,37
84006021,"Glenn, California, US",0,0,0,0
84006023,"Humboldt, California, US",3,3,4,4
84006025,"Imperial, California, US",29,29,29,30
84006027,"Inyo, California, US",1,1,1,1
84006029,"Kern, California, US",38,39,40,45
84006031,"Kings, California, US",5,5,6,6
84006033,"Lake, California, US",0,0,0,0
84006035,"Lassen, California, US",0,0,0,0
84006037,"Los Angeles, California, US",2386,2448,2489,2532
84006039,"Madera, California, US",2,3,3,3
84006041,"Marin, California, US",14,15,17,17
84006043,"Mariposa, California, US",1,1,1,1
84006045,"Mendocino, California, US",0,0,0,0
84006047,"Merced, California, US",7,7,7,7
84006049,"Modoc, California, US",0,0,0,0
84006051,"Mono, California, US",1,1,1,1
84006053,"Monterey, California, US",10,10,10,10
84006055,"Napa, California, US",3,3,3,3
84006057,"Nevada, California, US",1,1,1,1
84006059,"Orange, California, US",147,150,158,165
84006061,"Placer, California, US",9,9,9,9
84006063,"Plumas, California, US",0,0,0,0
84006065,"Riverside, California, US",331,342,342,345
84006067,"Sacramento, California, US",58,58,58,58
84006069,"San Benito, California, US",2,2,2,2
84006071,"San Bernardino, California, US",204,208,209,209
84006073,"San Diego, California, US",269,269,276,283
84006075,"San Francisco, California, US",43,43,43,43
84006077,"San Joaquin, California, US",34,35,35,36
84006079,"San Luis Obispo, California, US",1,1,1,1
84006081,"San Mateo, California, US",84,84,84,84
84006083,"Santa Barbara, California, US",12,12,14,14
84006085,"Santa Clara, California, US",141,143,144,144
84006087,"Santa Cruz, California, US",2,2,2,2
84006089,"Shasta, California, US",4,4,4,4
84006091,"Sierra, California, US",0,0,0,0
84006093,"Siskiyou, California, US",0,0,0,0
84006095,"Solano, California, US",22,22,22,22
84006097,"Sonoma, California, US",4,4,4,4
84006099,"Stanislaus, California, US",29,29,30,30
84006101,"Sutter, California, US",2,2,2,2
84006103,"Tehama, California, US",1,1,1,1
84006105,"Trinity, California, US",0,0,0,0
84006107,"Tulare, California, US",89,89,90,92
84006109,"Tuolumne, California, US",0,0,0,0
84006111,"Ventura, California, US",34,34,34,35
84006113,"Yolo, California, US",24,24,24,24
84006115,"Yuba, California, US",1,1,1,1
84008001,"Adams, Colorado, US",123,125,127,130
84008003,"Alamosa, Colorado, US",2,2,2,2
84008005,"Arapahoe, Colorado, US",307,309,320,325
84008007,"Archuleta, Colorado, US",0,0,0,0
84008009,"Baca, Colorado, US",0,0,0,0
84008011,"Bent, Colorado, US",0,0,0,0
84008013,"Boulder, Colorado, US",66,67,67,67
84008014,"Broomfield, Colorado, US",27,27,27,27
84008015,"Chaffee, Colorado, US",20,20,20,20
84008017,"Cheyenne, Colorado, US",0,0,0,0
84008019,"Clear Creek, Colorado, US",1,1,1,1
84008021,"Conejos, Colorado, US",0,0,0,0
84008023,"Costilla, Colorado, US",0,0,0,0
84008025,"Crowley, Colorado, US",1,1,1,1
84008027,"Custer, Colorado, US",0,0,0,0
84008029,"Delta, Colorado, US",1,1,1,1
84008031,"Denver, Colorado, US",329,332,334,336
84008033,"Dolores, Colorado, US",0,0,0,0
84008035,"Douglas, Colorado, US",45,45,46,47
84008037,"Eagle, Colorado, US",8,8,8,8
84008039,"Elbert, Colorado, US",2,2,2,2
84008041,"El Paso, Colorado, US",89,95,96,96
84008043,"Fremont, Colorado, US",0,0,0,0
84008045,"Garfield, Colorado, US",2,2,2,2
84008047,"Gilpin, Colorado, US",0,0,0,0
84008049,"Grand, Colorado, US",0,0,0,0
84008051,"Gunnison, Colorado, US",6,6,6,6
84008053,"Hinsdale, Colorado, US",0,0,0,0
84008055,"Huerfano, Colorado, US",0,0,0,0
84008057,"Jackson, Colorado, US",0,0,0,0
84008059,"Jefferson, Colorado, US",171,172,172,177
84008061,"Kiowa, Colorado, US",0,0,0,0
84008063,"Kit Carson, Colorado, US",3,3,3,3
84008065,"Lake, Colorado, US",0,0,0,0
84008067,"La Plata, Colorado, US",1,1,1,1
84008069,"Larimer, Colorado, US",28,28,28,28
84008071,"Las Animas, Colorado, US",0,0,0,0
84008073,"Lincoln, Colorado, US",0,0,0,0
84008075,"Logan, Colorado, US",3,4,4,4
84008077,"Mesa, Colorado, US",0,0,0,0
84008079,"Mineral, Colorado, US",0,0,0,0
84008081,"Moffat, Colorado, US",0,0,0,0
84008083,"Montezuma, Colorado, US",3,3,3,3
84008085,"Montrose, Colorado, US",12,12,12,12
84008087,"Morgan, Colorado, US",43,43,45,46
84008089,"Otero, Colorado, US",1,1,1,1
84008091,"Ouray, Colorado, US",1,1,1,1
84008093,"Park, Colorado, US",0,0,0,0
84008095,"Phillips, Colorado, US",0,0,0,0
84008097,"Pitkin, Colorado, US",2,2,2,2
84008099,"Prowers, Colorado, US",0,0,0,0
84008101,"Pueblo, Colorado, US",18,18,18,18
84008103,"Rio Blanco, Colorado, US",0,0,0,0
84008105,"Rio Grande, Colorado, US",0,0,0,0
84008107,"Routt, Colorado, US",6,6,6,6
84008109,"Saguache, Colorado, US",1,1,1,1
84008111,"San Juan, Colorado, US",0,0,0,0
84008113,"San Miguel, Colorado, US",0,0,0,0
84008115,"Sedgwick, Colorado, US",0,0,0,0
84008117,"Summit, Colorado, US",2,2,2,2
84008119,"Teller, Colorado, US",2,2,2,2
84008121,"Washington, Colorado, US",0,0,0,0
84008123,"Weld, Colorado, US",132,132,133,134
84008125,"Yuma, Colorado, US",0,0,0,0
84009001,"Fairfield, Connecticut, US",1288,1287,1289,1293
84009003,"Hartford, Connecticut, US",1259,1253,1259,1266
84009005,"Litchfield, Connecticut, US",136,133,133,134
84009007,"Middlesex, Connecticut, US",153,150,152,154
84009009,"New Haven, Connecticut, US",974,985,990,992
84009011,"New London, Connecticut, US",89,90,92,94
84009013,"Tolland, Connecticut, US",58,60,60,60
84009015,"Windham, Connecticut, US",13,14,14,14
84010001,"Kent, Delaware, US",63,66,66,69
84010003,"New Castle, Delaware, US",172,172,173,173
84010005,"Sussex, Delaware, US",133,135,136,143
84011001,"District of Columbia,District of Columbia,US",468,470,473,475
84012001,"Alachua, Florida, US",7,7,8,8
84012003,"Baker, Florida, US",3,3,4,4
84012005,"Bay, Florida, US",3,3,3,4
84012007,"Bradford, Florida, US",2,2,2,2
84012009,"Brevard, Florida, US",13,13,13,13
84012011,"Broward, Florida, US",314,317,318,325
84012013,"Calhoun, Florida, US",4,4,4,4
84012015,"Charlotte, Florida, US",63,65,68,68
84012017,"Citrus, Florida, US",12,12,12,12
84012019,"Clay, Florida, US",28,30,33,32
84012021,"Collier, Florida, US",49,49,49,53
84012023,"Columbia, Florida, US",2,2,2,2
84012027,"DeSoto,Florida,US",7,7,7,7
84012029,"Dixie, Florida, US",2,2,2,2
84012031,"Duval, Florida, US",51,51,51,51
84012033,"Escambia, Florida, US",33,34,35,35
84012035,"Flagler, Florida, US",4,4,4,4
84012037,"Franklin, Florida, US",0,0,0,0
84012039,"Gadsden, Florida, US",2,3,3,3
84012041,"Gilchrist, Florida, US",0,0,0,0
84012043,"Glades, Florida, US",1,1,1,1
84012045,"Gulf, Florida, US",0,0,0,0
84012047,"Hamilton, Florida, US",0,0,0,0
84012049,"Hardee, Florida, US",0,0,0,0
84012051,"Hendry, Florida, US",15,16,17,17
84012053,"Hernando, Florida, US",5,5,5,5
84012055,"Highlands, Florida, US",9,9,9,9
84012057,"Hillsborough, Florida, US",81,81,84,85
84012059,"Holmes, Florida, US",0,0,0,0
84012061,"Indian River, Florida, US",10,10,10,10
84012063,"Jackson, Florida, US",1,1,1,1
84012065,"Jefferson, Florida, US",3,3,3,3
84012067,"Lafayette, Florida, US",0,0,0,0
84012069,"Lake, Florida, US",15,15,15,15
84012071,"Lee, Florida, US",105,112,113,114
84012073,"Leon, Florida, US",7,7,7,7
84012075,"Levy, Florida, US",1,1,1,1
84012077,"Liberty, Florida, US",0,1,1,1
84012079,"Madison, Florida, US",4,4,4,3
84012081,"Manatee, Florida, US",97,98,98,100
84012083,"Marion, Florida, US",7,7,7,7
84012085,"Martin, Florida, US",9,10,10,10
84012086,"Miami-Dade, Florida, US",702,722,731,746
84012087,"Monroe, Florida, US",4,4,4,4
84012089,"Nassau, Florida, US",1,1,1,1
84012091,"Okaloosa, Florida, US",6,6,6,6
84012093,"Okeechobee, Florida, US",0,0,0,0
84012095,"Orange, Florida, US",41,41,41,43
84012097,"Osceola, Florida, US",19,20,20,20
84012099,"Palm Beach, Florida, US",337,351,359,363
84012101,"Pasco, Florida, US",13,15,15,15
84012103,"Pinellas, Florida, US",83,90,90,91
84012105,"Polk, Florida, US",57,58,60,63
84012107,"Putnam, Florida, US",6,6,6,6
84012109,"St. Johns, Florida, US",6,6,6,6
84012111,"St. Lucie, Florida, US",30,31,31,31
84012113,"Santa Rosa, Florida, US",9,9,9,9
84012115,"Sarasota, Florida, US",77,80,80,82
84012117,"Seminole, Florida, US",12,12,12,12
84012119,"Sumter, Florida, US",17,17,17,17
84012121,"Suwannee, Florida, US",18,18,18,18
84012123,"Taylor, Florida, US",0,0,0,0
84012125,"Union, Florida, US",1,1,1,1
84012127,"Volusia, Florida, US",38,39,41,41
84012129,"Wakulla, Florida, US",1,1,1,1
84012131,"Walton, Florida, US",9,9,9,9
84012133,"Washington, Florida, US",4,4,4,4
84013001,"Appling, Georgia, US",13,13,13,13
84013003,"Atkinson, Georgia, US",2,2,2,2
84013005,"Bacon, Georgia, US",3,3,3,3
84013007,"Baker, Georgia, US",3,2,2,3
84013009,"Baldwin, Georgia, US",26,26,27,27
84013011,"Banks, Georgia, US",1,1,1,1
84013013,"Barrow, Georgia, US",17,18,18,19
84013015,"Bartow, Georgia, US",39,38,39,39
84013017,"Ben Hill, Georgia, US",1,1,1,1
84013019,"Berrien, Georgia, US",0,0,0,0
84013021,"Bibb, Georgia, US",28,29,29,29
84013023,"Bleckley, Georgia, US",0,0,0,0
84013025,"Brantley, Georgia, US",2,2,2,2
84013027,"Brooks, Georgia, US",8,8,8,8
84013029,"Bryan, Georgia, US",5,5,5,5
84013031,"Bulloch, Georgia, US",2,2,2,2
84013033,"Burke, Georgia, US",6,6,6,6
84013035,"Butts, Georgia, US",24,24,24,24
84013037,"Calhoun, Georgia, US",6,6,7,7
84013039,"Camden, Georgia, US",1,1,1,1
84013043,"Candler, Georgia, US",0,0,0,0
84013045,"Carroll, Georgia, US",24,24,26,28
84013047,"Catoosa, Georgia, US",0,0,0,0
84013049,"Charlton, Georgia, US",1,1,1,1
84013051,"Chatham, Georgia, US",25,26,26,27
84013053,"Chattahoochee, Georgia, US",0,0,0,0
84013055,"Chattooga, Georgia, US",2,2,2,2
84013057,"Cherokee, Georgia, US",33,33,33,33
84013059,"Clarke, Georgia, US",13,14,14,15
84013061,"Clay, Georgia, US",2,2,2,2
84013063,"Clayton, Georgia, US",50,51,51,51
84013065,"Clinch, Georgia, US",2,2,2,2
84013067,"Cobb, Georgia, US",183,183,186,190
84013069,"Coffee, Georgia, US",15,15,15,15
84013071,"Colquitt, Georgia, US",15,15,15,15
84013073,"Columbia, Georgia, US",8,8,8,8
84013075,"Cook, Georgia, US",2,2,2,2
84013077,"Coweta, Georgia, US",9,9,9,9
84013079,"Crawford, Georgia, US",0,0,0,0
84013081,"Crisp, Georgia, US",7,7,7,8
84013083,"Dade, Georgia, US",1,1,1,1
84013085,"Dawson, Georgia, US",1,1,1,1
84013087,"Decatur, Georgia, US",5,5,5,6
84013089,"DeKalb, Georgia, US",121,121,122,122
84013091,"Dodge, Georgia, US",2,2,2,2
84013093,"Dooly, Georgia, US",12,12,12,12
84013095,"Dougherty, Georgia, US",149,149,149,149
84013097,"Douglas, Georgia, US",25,25,25,25
84013099,"Early, Georgia, US",31,31,32,32
84013101,"Echols, Georgia, US",0,0,0,0
84013103,"Effingham, Georgia, US",1,1,1,1
84013105,"Elbert, Georgia, US",0,0,0,0
84013107,"Emanuel, Georgia, US",2,2,2,2
84013109,"Evans, Georgia, US",0,0,0,0
84013111,"Fannin, Georgia, US",1,1,1,1
84013113,"Fayette, Georgia, US",13,13,13,13
84013115,"Floyd, Georgia, US",15,15,15,15
84013117,"Forsyth, Georgia, US",12,12,12,12
84013119,"Franklin, Georgia, US",1,1,1,1
84013121,"Fulton, Georgia, US",241,242,244,250
84013123,"Gilmer, Georgia, US",0,1,1,1
84013125,"Glascock, Georgia, US",0,0,0,0
84013127,"Glynn, Georgia, US",2,2,2,2
84013129,"Gordon, Georgia, US",16,16,16,16
84013131,"Grady, Georgia, US",4,4,4,4
84013133,"Greene, Georgia, US",7,7,7,7
84013135,"Gwinnett, Georgia, US",132,133,135,135
84013137,"Habersham, Georgia, US",23,23,23,24
84013139,"Hall, Georgia, US",49,50,50,50
84013141,"Hancock, Georgia, US",25,25,25,25
84013143,"Haralson, Georgia, US",3,3,4,4
84013145,"Harris, Georgia, US",6,6,6,6
84013147,"Hart, Georgia, US",0,0,0,0
84013149,"Heard, Georgia, US",2,2,2,3
84013151,"Henry, Georgia, US",23,23,23,23
84013153,"Houston, Georgia, US",17,17,18,19
84013155,"Irwin, Georgia, US",1,1,1,1
84013157,"Jackson, Georgia, US",6,6,6,6
84013159,"Jasper, Georgia, US",1,1,1,1
84013161,"Jeff Davis, Georgia, US",1,1,1,1
84013163,"Jefferson, Georgia, US",1,1,1,1
84013165,"Jenkins, Georgia, US",1,1,1,1
84013167,"Johnson, Georgia, US",2,2,2,2
84013169,"Jones, Georgia, US",0,0,0,0
84013171,"Lamar, Georgia, US",2,2,2,2
84013173,"Lanier, Georgia, US",2,2,2,2
84013175,"Laurens, Georgia, US",1,1,1,1
84013177,"Lee, Georgia, US",22,22,22,22
84013179,"Liberty, Georgia, US",0,1,1,1
84013181,"Lincoln, Georgia, US",0,0,1,1
84013183,"Long, Georgia, US",1,1,1,1
84013185,"Lowndes, Georgia, US",4,4,4,4
84013187,"Lumpkin, Georgia, US",1,1,1,1
84013189,"McDuffie,Georgia,US",5,5,5,5
84013191,"McIntosh, Georgia, US",1,1,1,1
84013193,"Macon, Georgia, US",6,6,6,6
84013195,"Madison, Georgia, US",1,1,1,1
84013197,"Marion, Georgia, US",2,2,2,2
84013199,"Meriwether, Georgia, US",2,2,2,2
84013201,"Miller, Georgia, US",0,0,0,0
84013205,"Mitchell, Georgia, US",32,32,32,32
84013207,"Monroe, Georgia, US",11,11,11,11
84013209,"Montgomery, Georgia, US",0,0,0,0
84013211,"Morgan, Georgia, US",0,0,0,0
84013213,"Murray, Georgia, US",1,1,1,1
84013215,"Muscogee, Georgia, US",18,18,18,21
84013217,"Newton, Georgia, US",11,11,11,11
84013219,"Oconee, Georgia, US",7,8,9,9
84013221,"Oglethorpe, Georgia, US",7,7,7,7
84013223,"Paulding, Georgia, US",11,11,11,11
84013225,"Peach, Georgia, US",4,4,4,4
84013227,"Pickens, Georgia, US",3,3,3,4
84013229,"Pierce, Georgia, US",3,3,3,4
84013231,"Pike, Georgia, US",3,3,3,3
84013233,"Polk, Georgia, US",1,1,1,1
84013235,"Pulaski, Georgia, US",2,2,2,2
84013237,"Putnam, Georgia, US",9,9,9,9
84013239,"Quitman, Georgia, US",1,1,1,1
84013241,"Rabun, Georgia, US",1,1,1,1
84013243,"Randolph, Georgia, US",19,19,19,19
84013245,"Richmond, Georgia, US",25,25,25,25
84013247,"Rockdale, Georgia, US",8,8,8,8
84013249,"Schley, Georgia, US",1,1,1,1
84013251,"Screven, Georgia, US",3,3,3,3
84013253,"Seminole, Georgia, US",2,2,2,2
84013255,"Spalding, Georgia, US",22,22,22,22
84013257,"Stephens, Georgia, US",2,2,3,3
84013259,"Stewart, Georgia, US",1,1,1,1
84013261,"Sumter, Georgia, US",44,44,44,44
84013263,"Talbot, Georgia, US",2,2,2,2
84013265,"Taliaferro, Georgia, US",0,0,0,0
84013267,"Tattnall, Georgia, US",0,0,0,0
84013269,"Taylor, Georgia, US",2,2,2,2
84013271,"Telfair, Georgia, US",1,1,1,1
84013273,"Terrell, Georgia, US",26,26,26,26
84013275,"Thomas, Georgia, US",32,32,32,32
84013277,"Tift, Georgia, US",17,18,18,18
84013279,"Toombs, Georgia, US",4,4,4,4
84013281,"Towns, Georgia, US",1,1,1,1
84013283,"Treutlen, Georgia, US",0,0,0,0
84013285,"Troup, Georgia, US",11,11,11,11
84013287,"Turner, Georgia, US",13,13,13,13
84013289,"Twiggs, Georgia, US",1,1,1,1
84013291,"Union, Georgia, US",1,1,1,1
84013293,"Upson, Georgia, US",34,34,34,34
84013295,"Walker, Georgia, US",0,0,0,0
84013297,"Walton, Georgia, US",12,12,15,15
84013299,"Ware, Georgia, US",14,14,14,14
84013301,"Warren, Georgia, US",0,0,0,0
84013303,"Washington, Georgia, US",1,1,1,1
84013305,"Wayne, Georgia, US",0,0,0,0
84013307,"Webster, Georgia, US",1,1,1,1
84013309,"Wheeler, Georgia, US",0,0,0,0
84013311,"White, Georgia, US",3,3,3,3
84013313,"Whitfield, Georgia, US",7,7,7,7
84013315,"Wilcox, Georgia, US",13,13,13,13
84013317,"Wilkes, Georgia, US",1,1,1,1
84013319,"Wilkinson, Georgia, US",6,7,7,7
84013321,"Worth, Georgia, US",21,21,21,21
84015001,"Hawaii, Hawaii, US",0,0,0,0
84015003,"Honolulu, Hawaii, US",11,11,11,11
84015005,"Kalawao, Hawaii, US",0,0,0,0
84015007,"Kauai, Hawaii, US",0,0,0,0
84015009,"Maui, Hawaii, US",6,6,6,6
84016001,"Ada, Idaho, US",22,22,22,22
84016003,"Adams, Idaho, US",0,0,0,0
84016005,"Bannock, Idaho, US",0,1,1,1
84016007,"Bear Lake, Idaho, US",0,0,0,0
84016009,"Benewah, Idaho, US",0,0,0,0
84016011,"Bingham, Idaho, US",0,0,0,0
84016013,"Blaine, Idaho, US",5,5,5,5
